,adj_close,adj_high,adj_low,adj_open,adj_volume,close,date,frequency,high,intraperiod,low,open,volume
0,203.13,203.38,198.61,199.54,28906780.0,203.13,2019-04-17,daily,203.38,False,198.61,199.54,28906780.0
1,199.25,201.37,198.56,199.46,25696385.0,199.25,2019-04-16,daily,201.37,False,198.56,199.46,25696385.0
2,199.23,199.85,198.01,198.58,17536646.0,199.23,2019-04-15,daily,199.85,False,198.01,198.58,17536646.0
3,198.87,200.14,196.21,199.2,27760668.0,198.87,2019-04-12,daily,200.14,False,196.21,199.2,27760668.0
4,198.95,201.0,198.4431,200.85,20900808.0,198.95,2019-04-11,daily,201.0,False,198.4431,200.85,20900808.0
5,200.62,200.74,198.18,198.68,21695288.0,200.62,2019-04-10,daily,200.74,False,198.18,198.68,21695288.0
6,199.5,202.85,199.23,200.32,35768237.0,199.5,2019-04-09,daily,202.85,False,199.23,200.32,35768237.0
7,200.1,200.23,196.34,196.42,25881697.0,200.1,2019-04-08,daily,200.23,False,196.34,196.42,25881697.0
8,197.0,197.1,195.93,196.45,18526644.0,197.0,2019-04-05,daily,197.1,False,195.93,196.45,18526644.0
9,195.69,196.37,193.14,194.79,19114275.0,195.69,2019-04-04,daily,196.37,False,193.14,194.79,19114275.0
10,195.35,196.5,193.15,193.25,23271830.0,195.35,2019-04-03,daily,196.5,False,193.15,193.25,23271830.0
11,194.02,194.46,191.05,191.09,22765732.0,194.02,2019-04-02,daily,194.46,False,191.05,191.09,22765732.0
12,191.24,191.68,188.38,191.64,27861964.0,191.24,2019-04-01,daily,191.68,False,188.38,191.64,27861964.0
13,189.95,190.08,188.54,189.83,23563961.0,189.95,2019-03-29,daily,190.08,False,188.54,189.83,23563961.0
14,188.72,189.559,187.53,188.95,20780363.0,188.72,2019-03-28,daily,189.559,False,187.53,188.95,20780363.0
15,188.47,189.76,186.55,188.75,29848427.0,188.47,2019-03-27,daily,189.76,False,186.55,188.75,29848427.0
16,186.79,192.88,184.58,191.664,49800538.0,186.79,2019-03-26,daily,192.88,False,184.58,191.664,49800538.0
17,188.74,191.98,186.6,191.51,43845293.0,188.74,2019-03-25,daily,191.98,False,186.6,191.51,43845293.0
18,191.05,197.69,190.78,195.34,42407666.0,191.05,2019-03-22,daily,197.69,False,190.78,195.34,42407666.0
19,195.09,196.33,189.81,190.02,51034237.0,195.09,2019-03-21,daily,196.33,False,189.81,190.02,51034237.0
20,188.16,189.49,184.73,186.23,31035231.0,188.16,2019-03-20,daily,189.49,False,184.73,186.23,31035231.0
21,186.53,188.99,185.92,188.35,31646369.0,186.53,2019-03-19,daily,188.99,False,185.92,188.35,31646369.0
22,188.02,188.39,185.79,185.8,26219832.0,188.02,2019-03-18,daily,188.39,False,185.79,185.8,26219832.0
23,186.12,187.33,183.74,184.85,39042912.0,186.12,2019-03-15,daily,187.33,False,183.74,184.85,39042912.0
24,183.73,184.1,182.56,183.9,23579508.0,183.73,2019-03-14,daily,184.1,False,182.56,183.9,23579508.0
25,181.71,183.3,180.92,182.25,31032524.0,181.71,2019-03-13,daily,183.3,False,180.92,182.25,31032524.0
26,180.91,182.67,179.37,180.0,32467584.0,180.91,2019-03-12,daily,182.67,False,179.37,180.0,32467584.0
27,178.9,179.12,175.35,175.49,32011034.0,178.9,2019-03-11,daily,179.12,False,175.35,175.49,32011034.0
28,172.91,173.07,169.5,170.32,23999358.0,172.91,2019-03-08,daily,173.07,False,169.5,170.32,23999358.0
29,172.5,174.44,172.02,173.87,24796374.0,172.5,2019-03-07,daily,174.44,False,172.02,173.87,24796374.0
30,174.52,175.49,173.94,174.67,20810384.0,174.52,2019-03-06,daily,175.49,False,173.94,174.67,20810384.0
31,175.53,176.0,174.54,175.94,19737419.0,175.53,2019-03-05,daily,176.0,False,174.54,175.94,19737419.0
32,175.85,177.75,173.97,175.69,27436203.0,175.85,2019-03-04,daily,177.75,False,173.97,175.69,27436203.0
33,174.97,175.15,172.89,174.28,25886167.0,174.97,2019-03-01,daily,175.15,False,172.89,174.28,25886167.0
