,adj_close,adj_high,adj_low,adj_open,adj_volume,close,date,frequency,high,intraperiod,low,open,volume
0,139.11,141.98,136.26,137.37,12444726.0,139.11,2019-04-17,daily,141.98,False,136.26,137.37,12525693.0
1,145.14,145.39,144.02,144.4,6301671.0,145.14,2019-04-16,daily,145.39,False,144.02,144.4,6301671.0
2,143.9,144.4597,143.27,144.4,3603158.0,143.9,2019-04-15,daily,144.4597,False,143.27,144.4,3603158.0
3,144.35,144.44,143.7,144.26,2898899.0,144.35,2019-04-12,daily,144.44,False,143.7,144.26,2898899.0
4,143.78,144.11,143.03,143.8,2941985.0,143.78,2019-04-11,daily,144.11,False,143.03,143.8,2941985.0
5,143.02,143.495,141.98,142.2,2678310.0,143.02,2019-04-10,daily,143.495,False,141.98,142.2,2678310.0
6,142.11,142.95,141.84,142.66,3038460.0,142.11,2019-04-09,daily,142.95,False,141.84,142.66,3038460.0
7,143.39,143.42,142.87,143.02,2118228.0,143.39,2019-04-08,daily,143.42,False,142.87,143.02,2118228.0
8,143.28,143.5,142.46,143.29,2731985.0,143.28,2019-04-05,daily,143.5,False,142.46,143.29,2731985.0
9,142.78,144.14,142.54,143.62,2771462.0,142.78,2019-04-04,daily,144.14,False,142.54,143.62,2771462.0
10,143.63,144.22,143.01,143.65,2681645.0,143.63,2019-04-03,daily,144.22,False,143.01,143.65,2681645.0
11,143.0,143.95,142.6,143.35,2404920.0,143.0,2019-04-02,daily,143.95,False,142.6,143.35,2404920.0
12,143.3,143.41,141.51,141.51,3984250.0,143.3,2019-04-01,daily,143.41,False,141.51,141.51,3984250.0
13,141.1,141.22,140.15,140.5,3101454.0,141.1,2019-03-29,daily,141.22,False,140.15,140.5,3101454.0
14,139.92,140.44,139.1,139.91,2663884.0,139.92,2019-03-28,daily,140.44,False,139.1,139.91,2663884.0
15,139.24,140.49,138.4,140.41,3098233.0,139.24,2019-03-27,daily,140.49,False,138.4,140.41,3098233.0
16,140.22,141.02,139.42,139.93,2553708.0,140.22,2019-03-26,daily,141.02,False,139.42,139.93,2553708.0
17,139.18,139.91,138.35,139.06,2839766.0,139.18,2019-03-25,daily,139.91,False,138.35,139.06,2839766.0
18,139.45,141.44,138.9,140.97,3877616.0,139.45,2019-03-22,daily,141.44,False,138.9,140.97,3877616.0
19,141.44,142.12,138.88,139.1,3605420.0,141.44,2019-03-21,daily,142.12,False,138.88,139.1,3605420.0
20,139.6,140.7,138.98,140.53,3649455.0,139.6,2019-03-20,daily,140.7,False,138.98,140.53,3649455.0
21,140.49,141.7024,140.002,140.96,3482336.0,140.49,2019-03-19,daily,141.7024,False,140.002,140.96,3482336.0
22,140.21,140.365,138.72,139.83,3268510.0,140.21,2019-03-18,daily,140.365,False,138.72,139.83,3268510.0
23,139.43,140.33,139.23,139.37,7153687.0,139.43,2019-03-15,daily,140.33,False,139.23,139.37,7153687.0
24,138.79,138.94,138.06,138.51,2738790.0,138.79,2019-03-14,daily,138.94,False,138.06,138.51,2738790.0
25,138.56,139.325,137.85,138.05,3173179.0,138.56,2019-03-13,daily,139.325,False,137.85,138.05,3173179.0
26,138.28,139.695,137.86,138.52,3954653.0,138.28,2019-03-12,daily,139.695,False,137.86,138.52,3954653.0
27,137.71,137.73,135.84,136.03,3939517.0,137.71,2019-03-11,daily,137.73,False,135.84,136.03,3939517.0
28,135.09,135.24,133.58,134.21,3773722.0,135.09,2019-03-08,daily,135.24,False,133.58,134.21,3773722.0
29,135.36,136.89,134.6343,136.61,4358802.0,135.36,2019-03-07,daily,136.89,False,134.6343,136.61,4358802.0
30,136.98,138.3892,136.72,138.12,2768256.0,136.98,2019-03-06,daily,138.3892,False,136.72,138.12,2768256.0
31,137.88,138.74,137.555,138.37,4250650.0,137.88,2019-03-05,daily,138.74,False,137.555,138.37,4250650.0
32,138.43,140.08,137.17,139.99,3407217.0,138.43,2019-03-04,daily,140.08,False,137.17,139.99,3407217.0
33,139.2,140.04,138.64,139.31,3030044.0,139.2,2019-03-01,daily,140.04,False,138.64,139.31,3030044.0
34,138.13,139.055,137.72,138.77,3457788.0,138.13,2019-02-28,daily,139.055,False,137.72,138.77,3457788.0
35,139.17,139.57,138.4007,139.25,2530968.0,139.17,2019-02-27,daily,139.57,False,138.4007,139.25,2530968.0
36,139.72,140.49,139.47,139.67,3060381.0,139.72,2019-02-26,daily,140.49,False,139.47,139.67,3060381.0
37,139.46,140.47,139.32,140.0,3194161.0,139.46,2019-02-25,daily,140.47,False,139.32,140.0,3194161.0
38,139.25,139.38,138.43,138.73,3113698.0,139.25,2019-02-22,daily,139.38,False,138.43,138.73,3113698.0
39,137.84,138.35,137.35,137.82,2937467.0,137.84,2019-02-21,daily,138.35,False,137.35,137.82,2937467.0
40,138.0,139.24,137.2203,138.76,3801979.0,138.0,2019-02-20,daily,139.24,False,137.2203,138.76,3801979.0
41,138.7,138.7,137.36,137.81,3385675.0,138.7,2019-02-19,daily,138.7,False,137.36,137.81,3385675.0
42,138.03,138.185,137.385,137.58,3844062.0,138.03,2019-02-15,daily,138.185,False,137.385,137.58,3844062.0
43,136.48,137.6019,136.21,137.17,2789839.0,136.48,2019-02-14,daily,137.6019,False,136.21,137.17,2789839.0
44,137.52,137.92,136.41,136.92,4253042.0,137.52,2019-02-13,daily,137.92,False,136.41,136.92,4253042.0
45,136.05,136.2,134.86,135.15,3317161.0,136.05,2019-02-12,daily,136.2,False,134.86,135.15,3317161.0
46,133.99,135.15,133.91,134.29,3095069.0,133.99,2019-02-11,daily,135.15,False,133.91,134.29,3095069.0
47,133.71,133.71,132.19,132.34,3250074.0,133.71,2019-02-08,daily,133.71,False,132.19,132.34,3250074.0
48,133.19,134.47,132.12,133.55,4379439.0,133.19,2019-02-07,daily,134.47,False,132.12,133.55,4379439.0
49,134.75,135.076199383803,133.613244571596,133.662668720657,4879670.0,136.32,2019-02-06,daily,136.65,False,135.17,135.22,4879670.0
50,133.98886810446,134.25575850939,133.366123826291,133.72197769953,5398907.0,135.55,2019-02-05,daily,135.82,False,134.92,135.28,5398907.0
51,133.633014231221,133.642899061033,131.458351672535,132.476489143192,3966597.0,135.19,2019-02-04,daily,135.2,False,132.99,134.02,3966597.0
52,132.55556778169,133.642899061033,131.814205545775,133.415547975352,3806047.0,134.1,2019-02-01,daily,135.2,False,133.35,134.97,3806047.0
53,132.871882335681,133.164473298122,132.199713908451,132.901536825117,4884031.0,134.42,2019-01-31,daily,134.716,False,133.74,134.45,4884031.0
54,132.832343016432,133.474856954225,131.715357247653,132.456719483568,4500919.0,134.38,2019-01-30,daily,135.03,False,133.25,134.0,4500919.0
55,132.782918867371,133.855324053697,132.06132629108,132.743379548122,5037129.0,134.33,2019-01-29,daily,135.4149,False,133.6,134.29,5037129.0
56,132.723609888498,133.252448283451,131.053073650235,131.567084800469,5357736.0,134.27,2019-01-28,daily,134.805,False,132.58,133.1,5357736.0
57,132.427064994131,132.891651995305,130.904801203052,131.339733714789,5708500.0,133.97,2019-01-25,daily,134.44,False,132.43,132.87,5708500.0
58,131.003649501174,131.67127090669,129.916318221831,131.102497799296,6322928.0,132.53,2019-01-24,daily,133.2054,False,131.43,132.63,6322928.0
59,131.359503374413,133.445202464789,128.809217282864,129.857009242958,22063666.0,132.89,2019-01-23,daily,135.0,False,130.31,131.37,22063666.0
